                    H::AURORA |                hw:1048576000 |    4 | - (  0/ 897 ~0.000; c - (  0/ 299) | hcr:  - , max  17, sds 000) exs: 336072, 336073, 336074, mpv: [2.566e-03, 1.900e-03, 2.790e-05], [; ; ]
                    H::AURORA |                hw:1048576000 |    5 | - (  0/ 897 ~0.000; c - (  0/ 299) | hcr:  - , max  17, sds 000) exs: 336075, 336076, 336077, mpv: [1.725e-05, 1.000e-03, 1.800e-03], [; ; ]
                    H::AURORA |                hw:1048576000 |    6 | - (  0/ 897 ~0.000; c - (  0/ 299) | hcr:  - , max  17, sds 000) exs: 378294, 378295, 378296, mpv: [1.725e-05, 1.000e-03, 1.800e-03], [; ; ]
                    H::AURORA |                hw:1048576000 |    7 | - (  0/ 897 ~0.000; c - (  0/ 299) | hcr:  - , max  17, sds 000) exs: 378297, 378298, 378299, mpv: [8.200e-04, 8.177e-04, 1.180e-03], [; ; ]
                    H::AURORA |                 sac:10485760 |    0 | R (301/ 642 ~0.469; c R (107/ 214) | hcr:  - , max  17, sm: 100.00 %, sds 111) exs: 301441, 304620, 307764, mpv: [0.000e+00, 0.000e+00, 0.000e+00]
                    H::AURORA |                 sac:10485760 |    2 | R ( 38/ 642 ~0.059; c R ( 13/ 214) | hcr:  - , max  17, sm: 88.24 %, sds 111) exs: 301444, 304626, 307770, mpv: [0.000e+00, 0.000e+00, 0.000e+00]
                    H::AURORA |                 sac:10485760 |    4 | - (  0/ 642 ~0.000; c - (  0/ 214) | hcr:  - , max  17, sds 000) exs: 301447, 304632, 307776, mpv: [8.932e-05, 5.300e-03, 1.538e-03], [; ; ]
                    H::AURORA |                 sac:10485760 |    6 | - (  0/ 642 ~0.000; c - (  0/ 214) | hcr:  - , max  17, sds 000) exs: 301450, 304638, 307782, mpv: [1.934e-03, 1.600e-03, 2.429e-04], [; ; ]
                    H::AURORA |                 sac:10485760 |    7 | - (  0/ 642 ~0.000; c - (  0/ 214) | hcr:  - , max  17, sds 000) exs: 378300, 378301, 378302, mpv: [1.200e-03, 4.301e-03, 1.631e-04], [; ; ]
                    H::AURORA |                sac:104857600 |    0 | R (353/ 735 ~0.480; c R (125/ 245) | hcr:  - , max  17, sm: 100.00 %, sds 111) exs: 303013, 304623, 307767, mpv: [0.000e+00, 0.000e+00, 0.000e+00]
                    H::AURORA |                sac:104857600 |    2 | R ( 57/ 735 ~0.078; c R ( 19/ 245) | hcr:  - , max  17, sm: 88.24 %, sds 111) exs: 303016, 304629, 307773, mpv: [0.000e+00, 0.000e+00, 0.000e+00]
                    H::AURORA |                sac:104857600 |    4 | - (  0/ 735 ~0.000; c - (  0/ 245) | hcr:  - , max  17, sds 000) exs: 303019, 304635, 307779, mpv: [4.432e-03, 3.887e-03, 7.000e-04], [; ; ]
