                   B:S:Chacha |              zero:1048576000 |    4 | - (  0/ 897 ~0.000; c - (  0/ 299) | hcr:   6, max  20, sds 000) exs: 331604, 331605, 331606, mpv: [3.400e-04, 4.747e-03, 1.363e-03], [; ; ]
                   B:S:Chacha |              zero:1048576000 |    5 | - (  0/ 897 ~0.000; c - (  0/ 299) | hcr:   6, max  20, sds 000) exs: 336243, 336244, 336245, mpv: [3.000e-04, 2.100e-03, 1.000e-03], [; ; ]
                   B:S:Chacha |              zero:1048576000 |    6 | - (  0/ 897 ~0.000; c - (  1/ 299) | hcr:   6, max  20, sds 000) exs: 336246, 336247, 336248, mpv: [1.007e-03, 1.692e-05, 7.700e-04], [; ; ]
                   B:S:Chacha |              zero:1048576000 |    7 | - (  0/ 897 ~0.000; c - (  1/ 299) | hcr:   6, max  20, sds 000) exs: 379116, 379117, 379118, mpv: [6.480e-04, 1.549e-04, 3.722e-03], [; ; ]
                   B:S:Chacha |              zero:1048576000 |    8 | - (  0/ 897 ~0.000; c - (  0/ 299) | hcr:   6, max  20, sds 000) exs: 379119, 379120, 379121, mpv: [1.326e-03, 1.400e-03, 2.200e-03], [; ; ]
                    B:S:DECIM |             ctr.key:10485760 |    5 | R ( 12/ 642 ~0.019; c R (  7/ 214) | hcr:  - , max   8, sm: 37.50 %, sds 111) exs: 324996, 324997, 324998, mpv: [2.900e-15, 9.691e-12, 9.567e-19], [203, 476, 558, 789; 203, 474, 476, 558, 570; 203, 476, 568]
                    B:S:DECIM |             ctr.key:10485760 |    6 | - (  0/ 642 ~0.000; c - (  0/ 214) | hcr:  - , max   8, sds 000) exs: 324999, 325000, 325001, mpv: [2.707e-03, 1.399e-03, 2.043e-03], [; ; ]
                    B:S:DECIM |             ctr.key:10485760 |    7 | - (  0/ 642 ~0.000; c - (  0/ 214) | hcr:  - , max   8, sds 000) exs: 325002, 325003, 325004, mpv: [2.707e-03, 1.399e-03, 2.043e-03], [; ; ]
                    B:S:DECIM |             ctr.key:10485760 |    8 | - (  0/ 642 ~0.000; c - (  0/ 214) | hcr:  - , max   8, sds 000) exs: 329987, 329988, 329989, mpv: [1.049e-04, 3.876e-04, 5.334e-04], [; ; ]
                    B:S:DECIM |            ctr.key:104857600 |    6 | - (  0/ 735 ~0.000; c - (  0/ 245) | hcr:  - , max   8, sds 000) exs: 315162, 315163, 315164, mpv: [3.230e-03, 6.869e-04, 7.072e-04], [; ; ]
                    B:S:DECIM |            ctr.key:104857600 |    7 | - (  0/ 735 ~0.000; c - (  0/ 245) | hcr:  - , max   8, sds 000) exs: 315168, 315169, 315170, mpv: [3.230e-03, 6.869e-04, 7.072e-04], [; ; ]
                    B:S:DECIM |            ctr.key:104857600 |    8 | - (  0/ 735 ~0.000; c - (  0/ 245) | hcr:  - , max   8, sds 000) exs: 315174, 315175, 315176, mpv: [6.100e-04, 2.374e-03, 6.300e-04], [; ; ]
                    B:S:DECIM |           ctr.key:1048576000 |    3 | R (568/ 897 ~0.633; c R (197/ 299) | hcr:  - , max   8, sm: 62.50 %, sds 111) exs: 340372, 340373, 340374, mpv: [0.000e+00, 0.000e+00, 0.000e+00]
